model,area,school,condval,condsd
Type + PROATCE,Reading,7600037,10.1864796625523,23.0660043690628
Type + PROATCE,Reading,7600038,-7.38479518801937,18.0352437824996
Type + PROATCE,Reading,7600039,36.5946853405032,19.1495947678303
Type + PROATCE,Reading,7600041,-35.6671002188376,13.5395285735346
Type + PROATCE,Reading,7600042,-31.4226538089864,16.9376718235223
Type + PROATCE,Reading,7600043,-7.55906853604414,13.4923914371944
Type + PROATCE,Reading,7600044,-23.5085335776001,14.7593364541862
Type + PROATCE,Reading,7600045,44.8331950033203,18.1933706007353
Type + PROATCE,Reading,7600046,-12.0001198254717,15.4790787135468
Type + PROATCE,Reading,7600047,-9.91389904454405,15.3626023020419
Type + PROATCE,Reading,7600048,3.04801378170215,14.3031375596517
Type + PROATCE,Reading,7600050,-20.1793570868922,20.1633145797096
Type + PROATCE,Reading,7600051,33.8276971733584,15.3246312149885
Type + PROATCE,Reading,7600052,-19.4652743669469,24.3554460443297
Type + PROATCE,Reading,7600053,-1.17200419845921,19.0075975875911
Type + PROATCE,Reading,7600054,-21.7287423922508,17.7298232201709
Type + PROATCE,Reading,7600055,-2.08235327947167,16.3242050538774
Type + PROATCE,Reading,7600057,17.854869877494,17.7796147440478
Type + PROATCE,Reading,7600058,-14.1117574759158,13.3497305864163
Type + PROATCE,Reading,7600060,11.4738608303845,11.75246199649
Type + PROATCE,Reading,7600061,5.15993868073497,14.8197281889878
Type + PROATCE,Reading,7600062,14.7232597288546,23.0747030459032
Type + PROATCE,Reading,7600063,61.9935759923824,13.3643122544982
Type + PROATCE,Reading,7600064,-8.08060007291841,14.5078697188823
Type + PROATCE,Reading,7600065,-38.2081930695574,15.3479380325579
Type + PROATCE,Reading,7600066,2.30475984434295,13.3052507648578
Type + PROATCE,Reading,7600067,8.13285589971192,17.6467696596033
Type + PROATCE,Reading,7600068,-10.205048861629,14.3784126809319
Type + PROATCE,Reading,7600069,-36.5917195395571,19.6056996985374
Type + PROATCE,Reading,7600070,-23.5422938080532,14.7390557736401
Type + PROATCE,Reading,7600071,23.9277908645835,24.6734770307324
Type + PROATCE,Reading,7600072,5.51497159083654,15.9827395918461
Type + PROATCE,Reading,7600073,16.5054923526147,20.6745886906526
Type + PROATCE,Reading,7600074,-0.920607931335379,16.668449254313
Type + PROATCE,Reading,7600075,19.9730694227166,12.2433439018948
Type + PROATCE,Reading,7600076,-68.4658848978743,15.5531980079733
Type + PROATCE,Reading,7600077,-6.41346749997923,20.6641978478792
Type + PROATCE,Reading,7600078,41.201516248468,13.2330209692029
Type + PROATCE,Reading,7600080,-36.3255190058627,22.599221814249
Type + PROATCE,Reading,7600081,-30.2690879563342,18.7271286724823
Type + PROATCE,Reading,7600082,20.4197020169944,21.6806456372082
Type + PROATCE,Reading,7600083,28.9926908704927,11.978860584878
Type + PROATCE,Reading,7600084,-12.0975477239256,16.0508256817698
Type + PROATCE,Reading,7600085,16.9708248713602,13.3444243513937
Type + PROATCE,Reading,7600086,-6.21898470063126,15.6541811371944
Type + PROATCE,Reading,7600087,10.2363717406342,14.4923975869831
Type + PROATCE,Reading,7600088,2.43734174906312,13.0450288350109
Type + PROATCE,Reading,7600089,20.8546466385176,13.9048029826062
Type + PROATCE,Reading,7600092,-7.62785670062702,13.3513543368068
Type + PROATCE,Reading,7600093,-20.7802748234563,15.8800498324291
Type + PROATCE,Reading,7600094,1.49329761054189,10.5325562980599
Type + PROATCE,Reading,7600095,50.525960249047,19.8424051029285
Type + PROATCE,Reading,7600097,-0.413450464001678,16.4958062046042
Type + PROATCE,Reading,7600098,11.9186955356962,12.8255323949441
Type + PROATCE,Reading,7600099,31.0342047026325,15.7415650748208
Type + PROATCE,Reading,7600100,-39.3764758171569,14.323282822617
Type + PROATCE,Reading,7600101,-1.17259054403391,14.5731882147151
Type + PROATCE,Reading,7600102,36.5411049283015,24.3548286683676
Type + PROATCE,Reading,7600103,-4.41330271258758,13.2144654051796
Type + PROATCE,Reading,7600105,-17.7613736686183,17.0458878374734
Type + PROATCE,Reading,7600106,-14.5225497822175,14.4837589405323
Type + PROATCE,Reading,7600107,-5.32750689648933,14.9154201451694
Type + PROATCE,Reading,7600108,19.872219798603,13.6361100917378
Type + PROATCE,Reading,7600109,-5.67128842189514,14.1270726858207
Type + PROATCE,Reading,7600110,3.4438385278558,15.0809596146526
Type + PROATCE,Reading,7600111,0.609240111108997,19.4389302452309
Type + PROATCE,Reading,7600113,15.8082046087267,13.9766662374662
Type + PROATCE,Reading,7600114,6.97792158845309,18.1180137607452
Type + PROATCE,Reading,7600115,-16.8611947997915,21.0321490355018
Type + PROATCE,Reading,7600116,-21.747854888149,15.1573477353944
Type + PROATCE,Reading,7600117,16.3479910861138,13.3848864748272
Type + PROATCE,Reading,7600119,-22.6128583860726,13.2826784569802
